no,year,rice,wheat,soybeans,japanese radishes,potatoes,cabbages,tomatoes,mandarins,apples,sugar beets
1,1971,10887,943,122,2914,3271,1460,853,2488,1005,2197
2,1972,11889,609,127,2827,3533,1494,869,3568,959,2760
3,1973,12144,419,118,2681,3413,1386,865,3389,963,2954
4,1974,12292,465,133,2724,2942,1433,822,3383,850,1878
5,1975,13165,462,126,2545,3261,1423,1024,3665,898,1759
6,1976,11772,433,110,2671,3742,1468,900,3089,879,2169
7,1977,13095,442,111,2759,3520,1532,974,3539,959,2333
8,1978,12589,693,190,2705,3316,1505,993,3026,844,2884
9,1979,11958,948,192,2575,3381,1545,1038,3618,853,3344
10,1980,9751,968,174,2690,3421,1545,1014,2892,960,3550
11,1981,10259,970,212,2687,3095,1624,945,2819,846,3355
12,1982,10270,1132,226,2709,3775,1625,891,2864,925,4108
13,1983,10366,1075,217,2548,3566,1568,791,2859,1048,3377
14,1984,11878,1136,238,2631,3707,1614,804,2005,812,4040
15,1985,11662,1252,228,2544,3727,1589,802,2491,910,3921
16,1986,11647,1220,245,2655,4073,1667,816,2168,986,3862
17,1987,10627,1217,287,2534,3955,1631,837,2518,998,3827
18,1988,9935,1420,277,2457,3763,1573,776,1998,1042,3849
19,1989,10347,1356,272,2449,3587,1623,773,2015,1045,3664
20,1990,10499,1297,220,2336,3552,1544,767,1653,1053,3994
21,1991,9604,1042,197,2317,3609,1569,746,1579,760,4115
22,1992,10573,1045,188,2346,3494,1614,772,1683,1039,3581
23,1993,7834,921,101,2224,3390,1513,738,1490,1011,3388
24,1994,11981,790,99,2154,3377,1511,758,1247,989,3853
25,1995,10748,662,119,2148,3365,1544,753,1378,963,3813
26,1996,10344,711,148,2132,3087,1539,796,1153,899,3295
27,1997,10025,766,145,2020,3395,1502,780,1555,993,3685
28,1998,8960,713,158,1902,3073,1407,764,1194,879,4164
29,1999,9175,788,187,1948,2963,1476,769,1447,928,3787
30,2000,9490,903,235,1876,2898,1449,806,1143,800,3673
31,2001,9057,906,271,1868,2959,1435,798,1282,931,3796
32,2002,8889,1047,270,1780,3074,1392,785,1131,926,4098
33,2003,7792,1054,232,1752,2939,1376,760,1146,842,4161
34,2004,8730,1059,163,1620,2888,1279,755,1060,754,4656
35,2005,9074,1058,225,1627,2752,1364,759,1132,819,4201
36,2006,8556,1012,229,1650,2635,1372,728,842,832,3923
37,2007,8714,1105,227,1626,2873,1359,749,1066,840,4297
38,2008,8823,1098,262,1603,2743,1389,733,906,911,4248
39,2009,8474,853,230,1593,2459,1385,718,1003,846,3649
40,2010,8483,732,223,1496,2290,1360,691,786,787,3090
41,2011,8402,918,219,1493,2387,1375,703,928,655,3547
42,2012,8523,1030,236,1469,2500,1443,722,846,794,3758
43,2013,8607,995,200,1457,2408,1440,748,896,742,3435
44,2014,8439,1022,232,1452,2456,1480,740,875,816,3567
45,2015,7989,1181,243,1434,2406,1469,727,778,812,3925
46,2016,8044,961,238,1362,2199,1446,743,805,765,3189
47,2017,7824,1092,253,1325,2395,1428,737,741,735,3901
48,2018,7782,940,211,1328,2260,1467,724,774,756,3611
49,2019,7764,1260,218,1300,2399,1472,721,747,702,3986
50,2020,7765,1171,219,1254,2205,1434,706,766,763,3912
51,2021,7564,1332,247,1251,2175,1485,725,749,662,4061
52,2022,7269,,,,,,,,,
53,2023,7165,,,,,,,,,
54,2024,7345,,,,,,,,,