,科学技術の研究,シェア,災害予防,シェア,国土保全,シェア,災害復旧等,シェア,合計,,一般会計予算,,一般会計予算,対比,,,
1962,751,0.4,"8,864",4.3,"97,929",47.1,"100,642",48.3,"208,006",,"2,426,801",8.6,"2,563,091",8.1,8.1,,
1963,"1,021",0.4,"8,906",3.7,"116,131",47.7,"117,473",48.2,"243,522",,"2,850,008",8.5,"3,056,807",8.0,8.0,,
1964,"1,776",0.7,"13,724",5.4,"122,409",48.3,"115,393",45.6,"253,302",,"3,255,438",7.8,"3,340,498",7.6,7.6,,
1965,"1,605",0.5,"17,143",5.6,"147,858",48.3,"139,424",45.6,"306,030",,"3,658,080",8.4,"3,744,725",8.2,8.2,,
1966,"1,773",0.5,"20,436",5.9,"170,650",49.0,"155,715",44.7,"348,574",,"4,314,270",8.1,"4,477,148",7.8,7.8,,
1967,"2,115",0.6,"23,152",6.1,"197,833",52.3,"154,855",41.0,"377,955",,"4,950,910",7.6,"5,203,437",7.3,7.3,,
1968,"2,730",0.7,"25,514",6.8,"207,600",55.4,"138,815",37.1,"374,659",,"5,818,598",6.4,"5,917,333",6.3,6.3,,
1969,"2,747",0.7,"30,177",7.5,"236,209",59.0,"131,270",32.8,"400,403",,"6,739,574",5.9,"6,930,854",5.8,5.8,,
1970,"2,756",0.6,"36,027",8.2,"269,159",60.9,"133,998",30.3,"441,940",,"7,949,764",5.6,"8,213,085",5.4,5.4,,
1971,"3,078",0.5,"50,464",8.6,"352,686",60.3,"178,209",30.5,"584,437",,"9,414,315",6.2,"9,658,999",6.1,6.1,,
1972,"3,700",0.4,"93,425",10.3,"488,818",54.1,"316,895",35.1,"902,838",,"11,467,681",7.9,"12,118,949",7.4,7.4,,
1973,"6,287",0.7,"111,321",12.4,"493,580",54.9,"287,082",32.0,"898,270",,"14,284,073",6.3,"15,272,617",5.9,5.9,,
1974,"14,569",1.5,"118,596",12.1,"505,208",51.5,"342,556",34.9,"980,929",,"17,099,430",5.7,"19,198,131",5.1,5.1,,
1975,"17,795",1.5,"159,595",13.3,"615,457",51.3,"405,771",33.9,"1,198,618",,"21,288,800",5.6,"20,837,158",5.8,5.8,,
1976,"21,143",1.3,"186,297",11.5,"711,159",43.9,"700,688",43.3,"1,619,287",,"24,296,011",6.7,"24,650,235",6.6,6.6,,
1977,"22,836",1.4,"234,409",13.9,"904,302",53.6,"525,886",31.2,"1,687,433",,"28,514,270",5.9,"29,346,615",5.8,5.8,,
1978,"29,642",1.7,"307,170",17.3,"1,093,847",61.6,"345,603",19.5,"1,776,262",,"34,295,011",5.2,"34,440,044",5.2,5.2,,
1979,"35,145",1.6,"435,963",20.4,"1,229,401",57.6,"432,759",20.3,"2,133,268",,"38,600,143",5.5,"39,667,587",5.4,5.4,,
1980,"29,929",1.2,"456,575",18.9,"1,229,615",50.8,"705,168",29.1,"2,421,287",,"42,588,843",5.7,"43,681,367",5.5,5.5,,
1981,"29,621",1.2,"474,926",18.9,"1,240,788",49.5,"761,950",30.4,"2,507,285",,"46,788,131",5.4,"47,125,364",5.3,5.3,,
1982,"28,945",1.1,"469,443",17.2,"1,261,326",46.3,"963,984",35.4,"2,723,698",,"49,680,837",5.5,"47,562,140",5.7,5.7,,
1983,"29,825",1.1,"489,918",18.4,"1,268,712",47.6,"875,851",32.9,"2,664,306",,"50,379,603",5.3,"50,839,442",5.2,5.2,,
1984,"28,215",1.2,"485,219",20.7,"1,350,592",57.7,"475,878",20.3,"2,339,904",,"50,627,214",4.6,"51,513,360",4.5,4.5,,
1985,"27,680",1.1,"512,837",20.2,"1,355,917",53.5,"640,225",25.2,"2,536,659",,"52,499,643",4.8,"53,222,882",4.8,4.8,,
1986,"28,646",1.2,"482,889",19.7,"1,354,397",55.3,"581,462",23.8,"2,447,394",,"54,088,643",4.5,"53,824,828",4.5,4.5,,
1987,"38,296",1.4,"612,505",21.9,"1,603,599",57.2,"548,337",19.6,"2,802,737",,"54,101,019",5.2,"58,214,156",4.8,4.8,,
1988,"31,051",1.1,"587,073",20.8,"1,550,132",54.9,"657,681",23.3,"2,825,937",,"56,699,714",5.0,"61,851,731",4.6,4.6,,
1989,"34,542",1.2,"588,354",20.7,"1,638,104",57.5,"587,819",20.6,"2,848,819",,"60,414,194",4.7,"66,311,891",4.3,4.3,,
1990,"35,382",1.1,"625,239",20.0,"1,669,336",53.4,"796,231",25.5,"3,126,188",,"66,236,791",4.7,"69,651,178",4.5,4.5,,
1991,"35,791",1.1,"628,596",19.8,"1,729,332",54.3,"788,603",24.8,"3,182,322",,"70,347,419",4.5,"70,613,465",4.5,4.5,,
1992,"36,302",1.1,"745,405",22.8,"2,017,898",61.6,"475,411",14.5,"3,275,015",,"72,218,011",4.5,"71,489,671",4.6,4.6,,
1993,"43,152",0.9,"866,170",18.6,"2,462,800",52.9,"1,280,569",27.5,"4,652,691",,"72,354,824",6.4,"77,437,498",6.0,6.0,,
1994,"40,460",1.0,"747,223",18.9,"1,945,295",49.1,"1,230,072",31.0,"3,963,050",,"73,081,669",5.4,"73,430,517",5.4,5.4,,
1995,"105,845",1.4,"1,208,134",16.0,"2,529,386",33.5,"3,696,010",49.0,"7,539,375",,"70,987,120",10.6,"78,034,006",9.7,9.7,,
1996,"52,385",1.2,"1,029,658",24.5,"2,156,714",51.3,"968,182",23.0,"4,206,938",,"75,104,924",5.6,"77,771,231",5.4,5.4,,
1997,"49,128",1.2,"1,147,102",28.2,"2,014,695",49.4,"864,370",21.2,"4,075,295",,"77,390,004",5.3,"78,533,160",5.2,5.2,,
1998,"62,435",1.1,"1,228,539",22.3,"2,905,921",52.8,"1,310,515",23.8,"5,507,411",,"77,669,179",7.1,"87,991,485",6.3,6.3,,
1999,"78,134",1.7,"1,142,199",25.0,"2,400,534",52.6,"941,886",20.6,"4,562,752",,"81,860,122",5.6,"89,018,897",5.1,5.1,,
2000,"73,502",1.8,"1,011,535",24.4,"2,376,083",57.3,"689,225",16.6,"4,150,346",,"84,987,053",4.9,"89,770,227",4.6,4.6,,
2001,"49,310",1.2,"1,060,445",26.7,"2,238,816",56.4,"618,427",15.6,"3,966,998",,"82,652,379",4.8,"86,352,554",4.6,4.6,,
2002,"48,164",1.3,"1,202,984",31.9,"1,981,686",52.5,"543,949",14.4,"3,776,783",,"81,229,993",4.6,"83,688,984",4.5,4.5,,
2003,"35,133",1.1,"814,101",25.7,"1,625,670",51.4,"689,255",21.8,"3,164,159",,"81,789,078",3.9,"81,939,569",3.9,3.9,,
2004,"30,478",0.7,"815,059",19.3,"1,753,418",41.5,"1,622,112",38.4,"4,221,067",,"82,110,925",5.1,"86,878,703",4.9,4.9,,
2005,"11,097",0.4,"866,290",28.6,"1,426,745",47.0,"728,606",24.0,"3,032,738",,"82,182,918",3.7,"86,704,827",3.5,3.5,,
2006,"11,627",0.4,"689,505",25.1,"1,439,129",52.3,"610,302",22.2,"2,750,563",,"79,686,024",3.5,"83,458,343",3.3,3.3,,
2007,"9,687",0.4,"706,853",29.0,"1,332,222",54.6,"391,637",16.0,"2,440,399",,"82,908,808",2.9,"83,804,191",2.9,2.9,"895,383",
2008,"8,921",0.4,"819,359",33.2,"1,275,135",51.7,"363,471",14.7,"2,466,886",,"83,061,340",3.0,"88,911,213",2.8,3.0,"5,849,873",
2009,"8,761",0.4,"498,397",23.0,"1,383,254",63.7,"279,789",12.9,"2,170,201",,"88,548,001",2.5,"102,558,156",2.1,2.5,"14,010,154",
2010,"7,695",0.6,"224,841",16.9,"813,359",61.1,"285,038",21.4,"1,330,933",,"92,299,193",1.4,"96,728,393",1.4,1.4,"4,429,200",
2011,"28,072",0.6,"383,384",8.2,"743,936",15.9,"3,534,830",75.4,"4,690,222",,"92,411,613",5.1,"106,398,677",4.4,5.1,"13,987,064",
2012,"53,496",1.1,"1,010,535",20.1,"951,561",19.0,"2,854,537",56.9,"5,016,359",,"90,333,931",5.6,"100,536,649",5.0,5.6,"10,202,718",
2013,"15,339",0.3,"786,046",14.1,"879,932",15.8,"3,881,875",69.6,"5,573,470",,"92,611,539",6.0,"98,076,967",5.7,6.0,"5,465,428",
2014,"16,688",0.4,"771,210",16.3,"841,367",17.8,"3,102,691",65.6,"4,731,956",,"95,882,303",4.9,"99,000,338",4.8,,,
2015,"14,961",0.4,"701,843",18.4,"155,239",4.1,"2,951,923",77.2,"3,823,966",,"96,341,951",4.0,"99,663,275",3.8,,,
2016,"14,023",0.3,"696,399",14.3,"318,320",6.5,"3,855,516",78.9,"4,884,258",,"96,721,841",5.0,"100,222,015",4.9,,,
2017,"10,123",0.3,"790,361",22.1,"267,629",7.5,"2,515,384",70.2,"3,583,497",,"97,454,709",3.7,"100,351,129",3.6,,,
2018,"22,781",0.6,"737,429",18.1,"482,711",11.8,"2,834,284",69.5,"4,077,205",,"97,712,769",4.2,"101,358,061",4.0,,,
2019,"14,390",0.3,"814,471",19.5,"512,324",12.3,"2,835,790",67.9,"4,176,975",,"101,457,094",4.1,"104,552,633",4.0,,,
2020,"15,726",0.4,"1,037,401",27.4,"437,134",7.5,"2,294,527",60.6,"3,784,788",,"102,657,971",3.7,"175,687,767",2.2,,,
2021,"26,756",0.5,"1,108,485",33.3,"404,554",7.5,"1,226,931",58.2,"2,766,726",,"106,609,708",2.6,"142,636,059",1.9,,,
2022,"7,060",0.5,"548,767",35.8,"116,860",7.6,"861,170",56.1,"1,533,857",,"107,596,425",,,,,,