year,科学技術の研究,シェア#1,災害予防,シェア#2,国土保全,シェア#3,災害復旧等,シェア#4,合計,一般会計予算,対比
1962,751,0.4,8864,4.3,97929,47.1,100642,48.3,208006,2563091,8.1
1963,1021,0.4,8906,3.7,116131,47.7,117473,48.2,243522,3056807,8.0
1964,1776,0.7,13724,5.4,122409,48.3,115393,45.6,253302,3340498,7.6
1965,1605,0.5,17143,5.6,147858,48.3,139424,45.6,306030,3744725,8.2
1966,1773,0.5,20436,5.9,170650,49.0,155715,44.7,348574,4477148,7.8
1967,2115,0.6,23152,6.1,197833,52.3,154855,41.0,377955,5203437,7.3
1968,2730,0.7,25514,6.8,207600,55.4,138815,37.1,374659,5917333,6.3
1969,2747,0.7,30177,7.5,236209,59.0,131270,32.8,400403,6930854,5.8
1970,2756,0.6,36027,8.2,269159,60.9,133998,30.3,441940,8213085,5.4
1971,3078,0.5,50464,8.6,352686,60.3,178209,30.5,584437,9658999,6.1
1972,3700,0.4,93425,10.3,488818,54.1,316895,35.1,902838,12118949,7.4
1973,6287,0.7,111321,12.4,493580,54.9,287082,32.0,898270,15272617,5.9
1974,14569,1.5,118596,12.1,505208,51.5,342556,34.9,980929,19198131,5.1
1975,17795,1.5,159595,13.3,615457,51.3,405771,33.9,1198618,20837158,5.8
1976,21143,1.3,186297,11.5,711159,43.9,700688,43.3,1619287,24650235,6.6
1977,22836,1.4,234409,13.9,904302,53.6,525886,31.2,1687433,29346615,5.8
1978,29642,1.7,307170,17.3,1093847,61.6,345603,19.5,1776262,34440044,5.2
1979,35145,1.6,435963,20.4,1229401,57.6,432759,20.3,2133268,39667587,5.4
1980,29929,1.2,456575,18.9,1229615,50.8,705168,29.1,2421287,43681367,5.5
1981,29621,1.2,474926,18.9,1240788,49.5,761950,30.4,2507285,47125364,5.3
1982,28945,1.1,469443,17.2,1261326,46.3,963984,35.4,2723698,47562140,5.7
1983,29825,1.1,489918,18.4,1268712,47.6,875851,32.9,2664306,50839442,5.2
1984,28215,1.2,485219,20.7,1350592,57.7,475878,20.3,2339904,51513360,4.5
1985,27680,1.1,512837,20.2,1355917,53.5,640225,25.2,2536659,53222882,4.8
1986,28646,1.2,482889,19.7,1354397,55.3,581462,23.8,2447394,53824828,4.5
1987,38296,1.4,612505,21.9,1603599,57.2,548337,19.6,2802737,58214156,4.8
1988,31051,1.1,587073,20.8,1550132,54.9,657681,23.3,2825937,61851731,4.6
1989,34542,1.2,588354,20.7,1638104,57.5,587819,20.6,2848819,66311891,4.3
1990,35382,1.1,625239,20.0,1669336,53.4,796231,25.5,3126188,69651178,4.5
1991,35791,1.1,628596,19.8,1729332,54.3,788603,24.8,3182322,70613465,4.5
1992,36302,1.1,745405,22.8,2017898,61.6,475411,14.5,3275015,71489671,4.6
1993,43152,0.9,866170,18.6,2462800,52.9,1280569,27.5,4652691,77437498,6.0
1994,40460,1.0,747223,18.9,1945295,49.1,1230072,31.0,3963050,73430517,5.4
1995,105845,1.4,1208134,16.0,2529386,33.5,3696010,49.0,7539375,78034006,9.7
1996,52385,1.2,1029658,24.5,2156714,51.3,968182,23.0,4206938,77771231,5.4
1997,49128,1.2,1147102,28.2,2014695,49.4,864370,21.2,4075295,78533160,5.2
1998,62435,1.1,1228539,22.3,2905921,52.8,1310515,23.8,5507411,87991485,6.3
1999,78134,1.7,1142199,25.0,2400534,52.6,941886,20.6,4562752,89018897,5.1
2000,73502,1.8,1011535,24.4,2376083,57.3,689225,16.6,4150346,89770227,4.6
2001,49310,1.2,1060445,26.7,2238816,56.4,618427,15.6,3966998,86352554,4.6
2002,48164,1.3,1202984,31.9,1981686,52.5,543949,14.4,3776783,83688984,4.5
2003,35133,1.1,814101,25.7,1625670,51.4,689255,21.8,3164159,81939569,3.9
2004,30478,0.7,815059,19.3,1753418,41.5,1622112,38.4,4221067,86878703,4.9
2005,11097,0.4,866290,28.6,1426745,47.0,728606,24.0,3032738,86704827,3.5
2006,11627,0.4,689505,25.1,1439129,52.3,610302,22.2,2750563,83458343,3.3
2007,9687,0.4,706853,29.0,1332222,54.6,391637,16.0,2440399,83804191,2.9
2008,8921,0.4,819359,33.2,1275135,51.7,363471,14.7,2466886,88911213,2.8
2009,8761,0.4,498397,23.0,1383254,63.7,279789,12.9,2170201,102558156,2.1
2010,7695,0.6,224841,16.9,813359,61.1,285038,21.4,1330933,96728393,1.4
2011,28072,0.6,383384,8.2,743936,15.9,3534830,75.4,4690222,106398677,4.4
2012,53496,1.1,1010535,20.1,951561,19.0,2854537,56.9,5016359,100536649,5.0
2013,15339,0.3,786046,14.1,879932,15.8,3881875,69.6,5573470,98076967,5.7
2014,16688,0.4,771210,16.3,841367,17.8,3102691,65.6,4731956,99000338,4.8
2015,14961,0.4,701843,18.4,155239,4.1,2951923,77.2,3823966,99663275,3.8
2016,14023,0.3,696399,14.3,318320,6.5,3855516,78.9,4884258,100222015,4.9
2017,10123,0.3,790361,22.1,267629,7.5,2515384,70.2,3583497,100351129,3.6
2018,22781,0.6,737429,18.1,482711,11.8,2834284,69.5,4077205,101358061,4.0
2019,14390,0.3,814471,19.5,512324,12.3,2835790,67.9,4176975,104552633,4.0
2020,15726,0.4,1037401,27.4,437134,7.5,2294527,60.6,3784788,175687767,2.2
2021,26756,0.5,1108485,33.3,404554,7.5,1226931,58.2,2766726,142636059,1.9
2022,7060,0.5,548767,35.8,116860,7.6,861170,56.1,1533857,,