,index,Entity,Code,Year,other_renewables_consumption_equivalent_twh,biofuels_consumption_twh,solar_consumption_equivalent_twh,wind_consumption_equivalent_twh,hydro_consumption_equivalent_twh,nuclear_consumption_equivalent_twh,gas_consumption_twh,coal_consumption_twh,oil_consumption_twh
0,3145,Japan,JPN,1965,0.0,0.0,0.0,0.0,224.93817,0.07093778,18.2615,566.5229,1022.0436
1,3146,Japan,JPN,1966,0.0,0.0,0.0,0.0,234.63708,1.6571085,18.73975,603.7728,1220.0682
2,3147,Japan,JPN,1967,0.0,0.0,0.0,0.0,202.7016,1.7847968,19.386,663.1947,1445.0398
3,3148,Japan,JPN,1968,0.0,0.0,0.0,0.0,217.19086,2.9623656,21.095,682.455,1645.5842
4,3149,Japan,JPN,1969,0.0,0.0,0.0,0.0,222.80913,3.0701911,23.325546,728.98267,2017.5236
5,3150,Japan,JPN,1970,0.6886761,0.0,0.0,0.0,222.95699,12.998655,35.721493,702.30524,2444.1143
6,3151,Japan,JPN,1971,0.6685497,0.0,0.0,0.0,248.9785,22.728495,38.301754,637.666,2633.4072
7,3152,Japan,JPN,1972,0.70538056,0.0,0.0,0.0,251.63977,26.899641,38.31681,623.12146,2894.374
8,3153,Japan,JPN,1973,0.72072303,0.0,0.0,0.0,197.46182,27.543756,53.32014,658.8215,3271.4678
9,3154,Japan,JPN,1974,0.87266916,0.0,0.0,0.0,244.48386,55.896202,72.87295,698.3457,3098.3828
10,3155,Japan,JPN,1975,1.0740192,0.0,0.0,0.0,246.63063,71.29256,87.283585,653.26324,3070.5293
11,3156,Japan,JPN,1976,1.0429373,0.0,0.0,0.0,247.17473,96.69967,104.6348,638.7905,3215.9766
12,3157,Japan,JPN,1977,1.5145916,0.0,0.0,0.0,215.76558,89.83288,127.78507,602.65674,3247.2256
13,3158,Japan,JPN,1978,2.348452,0.0,0.0,0.0,207.12822,168.30153,179.3443,545.7324,3274.6074
14,3159,Japan,JPN,1979,3.120506,0.0,0.0,0.0,238.75618,199.74118,212.7888,582.8143,3221.443
15,3160,Japan,JPN,1980,3.0969772,0.0,0.0,0.0,261.0785,234.3532,251.80937,677.0605,2871.159
16,3161,Japan,JPN,1981,3.2249124,0.0,0.0,0.0,259.0145,249.19055,252.3105,759.06995,2707.4973
17,3162,Japan,JPN,1982,31.065516,0.0,0.0,0.0,241.30806,290.64664,258.38336,723.9473,2555.3738
18,3163,Japan,JPN,1983,34.69921,0.0,0.0,0.0,249.19435,324.3024,278.06335,713.58234,2620.6226
19,3164,Japan,JPN,1984,38.196564,0.0,0.0,0.0,211.77069,380.9761,373.98093,797.98047,2568.1836
20,3165,Japan,JPN,1985,40.00961,0.0,0.0,0.0,245.05753,452.80496,400.5977,832.8265,2509.7917
21,3166,Japan,JPN,1986,43.572124,0.0,0.0,0.0,238.97203,469.23904,407.6181,793.0756,2522.5608
22,3167,Japan,JPN,1987,46.72633,0.0,0.0,0.0,221.14435,535.1695,418.04544,809.3264,2639.6982
23,3168,Japan,JPN,1988,50.55048,0.0,0.0,0.0,266.9895,493.43512,443.39005,874.77185,2798.2007
24,3169,Japan,JPN,1989,53.92833,0.0,0.0,0.0,271.27713,527.25055,460.55957,876.16406,2871.3735
25,3170,Japan,JPN,1990,35.588467,0.0,0.002957,0.0,256.94757,552.0989,503.15887,907.6897,2928.7986
26,3171,Japan,JPN,1991,36.56239,0.0,0.002957,0.0,279.1871,592.17096,532.0145,900.4807,3023.0889
27,3172,Japan,JPN,1992,37.193768,0.0,0.031048333,0.0,236.69516,615.8404,553.1084,885.25464,3098.17
28,3173,Japan,JPN,1993,36.28897,0.0,0.06653222,0.0028375275,273.75806,702.8522,556.9387,902.8055,3044.2654
29,3174,Japan,JPN,1994,41.92686,0.0,0.08575278,0.0028375275,190.61343,732.78253,595.6147,945.3257,3212.045
30,3175,Japan,JPN,1995,44.530243,0.0,0.116801105,0.0028375275,232.99005,814.0497,606.17584,979.8555,3234.1843
31,3176,Japan,JPN,1996,47.37745,0.0,0.16115583,0.0056750276,228.19972,841.3264,646.77234,1005.58246,3259.9888
32,3177,Japan,JPN,1997,51.139828,0.0,0.28476638,0.0028375275,255.60214,911.2876,671.34784,1032.946,3224.3533
33,3178,Japan,JPN,1998,50.373707,0.0,0.4235775,0.020908,263.40564,924.9556,691.63885,984.71936,3134.1433
34,3179,Japan,JPN,1999,51.414875,0.0,0.6446975,0.10752694,247.77203,900.1588,726.41864,1035.9772,3181.5173
35,3180,Japan,JPN,2000,50.241978,0.0,1.0173867,0.32231194,249.77095,905.5122,756.65015,1110.6033,3179.205
36,3181,Japan,JPN,2001,49.883595,0.0,1.4681277,0.7403225,239.5384,903.6253,777.2839,1137.1547,3076.0095
37,3182,Japan,JPN,2002,52.716972,0.0,2.0274808,1.2054785,235.25806,880.2068,760.4603,1207.9081,3026.1128
38,3183,Japan,JPN,2003,55.638466,0.0,2.7665877,2.412903,268.18027,640.294,834.98224,1241.2594,3117.3784
39,3184,Japan,JPN,2004,56.19162,0.0,3.6643724,4.1495786,264.15237,790.4816,806.0405,1274.1025,3048.324
40,3185,Japan,JPN,2005,67.79224,0.0,4.6676173,5.4691195,222.09064,805.1869,827.27966,1334.8142,3085.1174
41,3186,Japan,JPN,2006,67.29907,0.04315222,5.6783752,6.074939,252.69186,830.8468,885.50336,1312.1417,2975.5422
42,3187,Japan,JPN,2007,69.40299,0.077901386,6.5387816,7.747681,210.68529,757.0547,953.9006,1377.4036,2891.6797
43,3188,Japan,JPN,2008,66.608475,0.08219888,7.28921,8.275621,211.21626,678.83325,990.99493,1414.7809,2780.451
44,3189,Japan,JPN,2009,63.397808,0.58579886,8.5052395,9.571467,196.79187,736.0291,924.7802,1186.9474,2495.382
45,3190,Japan,JPN,2010,68.24561,2.2396724,11.050631,10.896171,245.6463,778.66785,999.3671,1352.7345,2514.9514
46,3191,Japan,JPN,2011,65.945145,2.1805513,15.004736,12.300954,227.55247,431.30008,1120.2524,1282.6497,2512.0217
47,3192,Japan,JPN,2012,69.151024,2.162264,20.213282,12.962273,211.4032,47.33809,1232.1508,1354.1991,2666.3037
48,3193,Japan,JPN,2013,72.50553,2.5645392,35.181824,13.99003,216.21167,38.190964,1235.3688,1409.438,2552.1658
49,3194,Japan,JPN,2014,73.908844,3.1155322,63.79429,13.58334,221.35652,0.0,1247.5212,1385.7355,2422.2021
50,3195,Japan,JPN,2015,89.3221,3.771842,93.01573,14.064874,230.96307,11.6918125,1187.1764,1397.981,2335.943
51,3196,Japan,JPN,2016,74.12002,4.613558,115.98451,14.297439,212.62605,45.4135,1164.1744,1395.3855,2268.99
52,3197,Japan,JPN,2017,74.4396,4.771357,143.81837,16.557337,210.88977,74.24665,1169.8649,1415.9634,2244.126
53,3198,Japan,JPN,2018,80.50345,5.136507,161.97726,19.492086,214.29703,124.67241,1157.0815,1386.5973,2166.7988
54,3199,Japan,JPN,2019,86.26822,4.780501,177.74182,19.651531,194.84937,166.02455,1081.2328,1362.5938,2112.3943
55,3200,Japan,JPN,2020,94.99384,5.147843,199.38988,22.074375,205.72295,108.36635,1041.275,1270.7518,1877.5267
56,3201,Japan,JPN,2021,109.04411,5.0003405,220.27634,24.95324,208.35612,153.72713,1035.0612,1369.4674,1911.5956
57,3202,Japan,JPN,2022,118.66706,5.0417256,237.43385,24.54747,195.19174,129.52829,1002.2232,1365.5248,1926.7228
58,3203,Japan,JPN,2023,131.91788,4.97078,251.95668,25.99997,193.52408,193.08649,924.2079,1260.1105,1848.5994