no,year,month,Y/M,emissions,total_cost,electricity,gas,water,status
1,2018,1,2018/1,161.85 ,"10,733 ","4,738 ","4,319 ","1,675.50",0
2,2018,2,2018/2,155.60 ,"10,540 ","4,521 ","4,200 ","1,818.50",0
3,2018,3,2018/3,132.30 ,"9,404 ","3,732 ","3,853 ","1,818.50",0
4,2018,4,2018/4,122.47 ,"8,822 ","3,332 ","3,885 ","1,604.50",0
5,2018,5,2018/5,104.41 ,"7,743 ","3,720 ","2,418 ","1,604.50",0
6,2018,6,2018/6,99.85 ,"7,568 ","3,396 ","2,567 ","1,604.50",0
7,2018,7,2018/7,125.12 ,"8,827 ","4,928 ","2,294 ","1,604.50",0
8,2018,8,2018/8,129.18 ,"8,980 ","5,656 ","1,743 ","1,580.50",0
9,2018,9,2018/9,122.78 ,"8,781 ","5,030 ","2,170 ","1,580.50",0
10,2018,10,2018/10,105.83 ,"8,157 ","3,662 ","2,748 ","1,747.00",0
11,2018,11,2018/11,114.94 ,"8,745 ","3,948 ","3,050 ","1,747.00",0
12,2018,12,2018/12,137.44 ,"10,496 ","4,281 ","4,068 ","2,146.50",0
13,2019,1,2019/1,182.72 ,"13,191 ","5,346 ","5,698 ","2,146.50",0
14,2019,2,2019/2,143.17 ,"10,780 ","4,607 ","4,283 ","1,889.50",0
15,2019,3,2019/3,129.62 ,"9,497 ","3,303 ","4,304 ","1,889.50",0
16,2019,4,2019/4,140.08 ,"9,969 ","3,152 ","4,799 ","2,018.00",0
17,2019,5,2019/5,119.67 ,"9,157 ","3,578 ","3,561 ","2,018.00",0
18,2019,6,2019/6,119.45 ,"8,542 ","4,504 ","2,362 ","1,675.50",0
19,2019,7,2019/7,124.78 ,"8,805 ","4,642 ","2,487 ","1,675.50",0
20,2019,8,2019/8,159.89 ,"10,539 ","6,476 ","2,316 ","1,747.00",0
21,2019,9,2019/9,142.30 ,"9,592 ","5,417 ","2,428 ","1,747.00",0
22,2019,10,2019/10,124.98 ,"8,673 ","4,631 ","2,279 ","1,762.50",0
23,2019,11,2019/11,119.36 ,"8,656 ","3,857 ","3,036 ","1,762.50",0
24,2019,12,2019/12,138.23 ,"9,742 ","4,232 ","3,730 ","1,779.50",0
25,2020,1,2020/1,169.20 ,"11,375 ","5,111 ","4,484 ","1,779.50",0
26,2020,2,2020/2,136.41 ,"9,552 ","4,332 ","3,440 ","1,779.50",0
27,2020,3,2020/3,102.55 ,"7,955 ","2,729 ","3,446 ","1,779.50",1
28,2020,4,2020/4,100.08 ,"7,693 ","2,775 ","3,308 ","1,610.00",1
29,2020,5,2020/5,82.78 ,"6,745 ","2,535 ","2,600 ","1,610.00",1
30,2020,6,2020/6,78.43 ,"6,350 ","2,694 ","2,033 ","1,622.50",1
31,2020,7,2020/7,83.12 ,"6,495 ","2,842 ","2,030 ","1,622.50",1
32,2020,8,2020/8,110.93 ,"7,760 ","4,123 ","2,027 ","1,610.00",1
33,2020,9,2020/9,122.14 ,"8,092 ","4,752 ","1,730 ","1,610.00",1
34,2020,10,2020/10,97.42 ,"7,093 ","2,686 ","2,784 ","1,622.50",1
35,2020,11,2020/11,83.37 ,"6,261 ","2,452 ","2,186 ","1,622.50",1
36,2020,12,2020/12,104.36 ,"7,585 ","2,396 ","3,264 ","1,925.00",1
37,2021,1,2021/1,141.03 ,"9,226 ","2,570 ","4,731 ","1,925.00",1
38,2021,2,2021/2,111.13 ,"7,585 ","2,503 ","3,447 ","1,634.50",1
39,2021,3,2021/3,107.21 ,"7,610 ","2,253 ","3,722 ","1,634.50",1
40,2021,4,2021/4,88.63 ,"6,699 ","2,394 ","2,719 ","1,586.00",1
41,2021,5,2021/5,73.81 ,"6,000 ","2,440 ","1,974 ","1,586.00",1
42,2021,6,2021/6,16.19 ,"6,869 ","3,731 ","1,576 ","1,562.00",2
43,2021,7,2021/7,13.98 ,"7,314 ","4,006 ","1,746 ","1,562.00",2
44,2021,8,2021/8,14.63 ,"9,595 ","6,282 ","1,739 ","1,574.00",2
45,2021,9,2021/9,14.63 ,"7,477 ","4,149 ","1,754 ","1,574.00",2
46,2021,10,2021/10,24.44 ,"7,691 ","3,745 ","2,336 ","1,610.00",2
47,2021,11,2021/11,33.28 ,"6,841 ","2,292 ","2,939 ","1,610.00",2
48,2021,12,2021/12,43.68 ,"7,621 ","2,327 ","3,708 ","1,586.00",2
49,2022,1,2022/1,37.05 ,"9,750 ","4,841 ","3,323 ","1,586.00",2
50,2022,2,2022/2,65.85 ,"11,175 ","4,061 ","5,262 ","1,852.00",2
51,2022,3,2022/3,65.85 ,"10,248 ","2,934 ","5,462 ","1,852.00",2
52,2022,4,2022/4,54.73 ,"9,201 ","2,697 ","4,918 ","1,586.00",2
53,2022,5,2022/5,26.00 ,"6,939 ","2,563 ","2,790 ","1,586.00",2
54,2022,6,2022/6,22.49 ,"7,081 ","2,894 ","2,625 ","1,562.00",2
55,2022,7,2022/7,13.65 ,"8,265 ","4,758 ","1,945 ","1,562.00",2
56,2022,8,2022/8,13.98 ,"9,726 ","6,219 ","1,945 ","1,562.00",2
57,2022,9,2022/9,11.77 ,"8,024 ","4,693 ","1,769 ","1,562.00",2
58,2022,10,2022/10,29.19 ,"8,181 ","3,453 ","3,106 ","1,622.00",2
59,2022,11,2022/11,38.03 ,"8,502 ","2,888 ","3,991 ","1,623.00",2
60,2022,12,2022/12,42.45 ,"7,000 ",832 ,"4,545 ","1,623.00",2
61,2023,1,2023/1,62.34 ,"11,309 ","3,142 ","6,545 ","1,622.00",2
62,2023,2,2023/2,44.01 ,"9,041 ","2,889 ","4,554 ","1,598.00",2
63,2023,3,2023/3,50.64 ,"7,694 ","1,088 ","5,008 ","1,598.00",2
64,2023,4,2023/4,35.75 ,"6,737 ","1,826 ","3,773 ","1,138.00",2
65,2023,5,2023/5,,,,,"1,137.00",2
66,2023,6,2023/6,22.23 ,"7,408 ","3,057 ","2,446 ","1,905.00",2
67,2023,7,2023/7,14.63 ,"8,518 ","5,213 ","1,896 ","1,409.00",2
68,2023,8,2023/8,12.42 ,"9,587 ","6,477 ","1,701 ","1,409.00",2
69,2023,9,2023/9,14.63 ,"8,341 ","5,110 ","1,822 ","1,409.00",2
70,2023,10,2023/10,19.05 ,"7,003 ","3,388 ","2,206 ","1,409.00",2
71,2023,11,2023/11,28.21 ,"8,110 ","3,857 ","2,832 ","1,421.00",2
72,2023,12,2023/12,30.42 ,"9,541 ","5,128 ","2,992 ","1,421.00",2
73,2024,1,2024/1,48.75 ,"10,974 ","5,253 ","4,276 ","1,445.00",2
74,2024,2,2024/2,44.33 ,"10,159 ","4,725 ","3,989 ","1,445.00",2
75,2024,3,2024/3,38.94 ,"9,768 ","4,624 ","3,735 ","1,409.00",2
76,2024,4,2024/4,25.68 ,"8,712 ","4,529 ","2,774 ","1,409.00",2
77,2024,5,2024/5,18.40 ,"6,761 ","3,082 ","2,282 ","1,397.00",2
78,2024,6,2024/6,16.19 ,"6,952 ","3,404 ","2,151 ","1,397.00",2
79,2024,7,2024/7,12.09 ,"8,585 ","5,371 ","1,817 ","1,397.00",2
80,2024,8,2024/8,12.09 ,"10,880 ","7,674 ","1,809 ","1,397.00",2
81,2024,9,2024/9,12.09 ,"8,022 ","4,890 ","1,735 ","1,397.00",2
82,2024,10,2024/10,18.72 ,"6,585 ","2,961 ","2,227 ","1,397.00",2
83,2024,11,2024/11,26.00 ,"8,794 ","4,583 ","2,790 ","1,421.00",2
84,2024,12,2024/12,28.21 ,"9,856 ","5,719 ","2,716 ","1,421.00",2